parcelNumber,fullAddress,longitude,latitude,distanceFromWarehouseMiles,appraisedValue,yearBuilt,numStories,livingArea,numBedrooms,numFullBaths,numHalfBaths,basement,basementArea
81-37-01-11-000,"1283 DILLON RD, Zanesville OH",-81.992098,39.92847099999999,1.8414611809166654,70100,2006,1,1404,3,2,0,NO,0
81-38-01-01-000,"1148 SELSAM ST, Zanesville OH",-81.99520199999999,39.930084,1.694787854861999,51500,1908,1,1148,2,1,0,YES,784
81-38-01-02-000,"1206 SELSAM AVE, Zanesville OH",-81.994113,39.929949,1.749964488573675,71700,1901,1,1152,3,1,0,YES,576
81-39-01-01-000,"706 WAYNE AVE, Zanesville OH",-82.000095,39.929057,1.426789486820102,31100,1930,1,924,3,1,0,YES,994
81-46-02-06-000,"329 JORDAN AVE, Zanesville OH",-81.987325,39.934345,2.170087503151962,35200,1932,1,1440,3,1,0,YES,720
81-46-02-13-000,"353 JORDAN AVE, Zanesville OH",-81.987377,39.933687,2.1551591657736777,63400,1901,2,2038,4,1,1,YES,414
81-46-03-04-000,"411 WHITE OAK AVE, Zanesville OH",-81.9861493,39.9329191,2.2052808706637985,36100,1900,1,696,2,1,0,YES,348
81-46-03-09-000,"1520 WHEELER RD, Zanesville OH",-81.986593,39.931837,2.166211369789237,101100,1997,1,2089,4,2,0,NO,0
81-46-03-18-000,"405 FREEBORN AVE, Zanesville OH",-81.987084,39.933091,2.1598910006742646,29800,1870,1,744,2,1,0,YES,252
81-47-01-02-000,"1470 WHEELER RD, Zanesville OH",-81.98791299999999,39.93224499999999,2.103652361666524,28300,1925,1,636,1,1,0,YES,636
81-47-01-03-000,"1460 WHEELER RD, Zanesville OH",-81.98817600000001,39.932256,2.09021135827356,29700,1923,1,640,2,1,0,YES,640
81-47-01-07-000,"447 SCHWALLIE AVE, Zanesville OH",-81.9887339,39.931367,2.0484725196128593,35100,1901,1,768,2,1,0,YES,768
81-40-02-02-000,"564 WAYNE AVE, Zanesville OH",-82.00149390000001,39.93030400000001,1.3716524210748897,53300,1900,2,1840,2,1,0,YES,451
81-40-02-04-000,"556 WAYNE AVE, Zanesville OH",-82.001498,39.930494,1.3746306824002896,41900,1900,2,1704,4,2,0,YES,554
81-40-02-07-000,"544 WAYNE AVE, Zanesville OH",-82.001504,39.930766,1.3790944826192753,44400,1900,2,1268,5,2,0,YES,272
81-40-02-08-000,"532 WAYNE AVE, Zanesville OH",-82.0015075,39.9310284,1.383746417089071,99e3,1874,2,3198,5,2,0,YES,1383
81-40-02-12-000,"506 WAYNE AVE, Zanesville OH",-82.001603,39.9316036,1.3902710487171956,61060,1901,2,2300,3,1,0,NO,0
81-40-02-13-000,"518 WAYNE AVE, Zanesville OH",-82.0015908,39.9313032,1.3848075407713123,52600,1890,2,1596,2,1,0,YES,480
81-42-01-13-000,"1144 SELSAM AVE, Zanesville OH",-81.9955373,39.9312598,1.6942904685483253,30200,1901,1,832,3,1,0,YES,832
81-43-01-01-000,"510 SCHWALLIE AVE, Zanesville OH",-81.988135,39.930786,2.0722837913431595,47500,1910,2,1296,3,1,0,YES,816
81-43-01-03-000,"535 SCHWALLIE AVE, Zanesville OH",-81.98878400000001,39.930686,2.037181875403537,71700,1930,1,2016,4,1,0,YES,1008
81-45-01-04-001,"328 WHITE OAK AVE, Zanesville OH",-81.9857138,39.9345567,2.2562548914893017,86900,2005,1,1144,3,2,0,NO,0
81-45-01-12-000,"420 WHITE OAK AVE, Zanesville OH",-81.98559829999999,39.9327688,2.2313946478095024,65400,1890,2,1692,2,1,0,YES,354
81-45-01-13-000,"424 WHITE OAK AVE, Zanesville OH",-81.9857581,39.93266270000001,2.2215038068863766,51400,1951,1,852,2,1,0,YES,852
81-45-01-17-000,"450 WHITE OAK AVE, Zanesville OH",-81.98547099999999,39.932361,2.231885122383321,62800,1951,1,1016,2,1,0,YES,1016
81-46-01-01-000,"1530 SHARON AVE, Zanesville OH",-81.986002,39.934862,2.247499919612773,57200,1926,1,1412,3,1,0,YES,1412
81-46-01-03-000,"1522 SHARON AVE, Zanesville OH",-81.986351,39.9349047,2.2306178421015184,57300,1930,2,1584,3,1,0,YES,1008
81-46-01-15-000,"358 JORDAN AVE, Zanesville OH",-81.98692919999999,39.9337006,2.178344194764778,42200,1950,1,768,2,1,0,YES,768
81-46-01-21-000,"335 WHITE OAK AVE, Zanesville OH",-81.9861031,39.9341758,2.229243887581133,43200,1953,1,768,2,1,0,YES,768
81-46-01-23-000,"327 WHITE OAK AVE, Zanesville OH",-81.98612229999999,39.9343901,2.232260699655957,40700,1930,1,562,1,1,0,YES,281
81-46-02-03-000,"1472 SHARON AVE, Zanesville OH",-81.987141,39.93480900000001,2.1885998401477997,60700,1925,2,1752,4,2,0,YES,948
81-46-02-07-000,"335 JORDAN AVE, Zanesville OH",-81.98733299999999,39.934237,2.16760578808801,35900,1934,1,884,2,1,0,YES,884
81-46-02-09-000,"337 JORDAN AVE, Zanesville OH",-81.987342,39.934126,2.1650394305827683,41100,1930,1,768,2,1,0,YES,768
81-46-02-10-000,"343 JORDAN AVE, Zanesville OH",-81.98735099999999,39.934016,2.1625160433170936,28300,1925,1,624,2,1,0,YES,624
81-46-03-06-000,"421 WHITE OAK AVE, Zanesville OH",-81.9862181,39.9327058,2.19837755085057,36200,1930,1,884,2,1,0,YES,540
81-46-03-07-000,"429 WHITE OAK AVE, Zanesville OH",-81.9862057,39.93257639999999,2.1970313036094606,50500,1885,2,1328,3,1,0,YES,224
17-19-01-91-550,"3758 COLONY HILL DR, Zanesville OH",-82.03330299999999,39.995892,4.876536796853405,101400,2004,1,912,2,2,0,NO,0
