parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
81-46-01-22-000,331 WHITE OAK AVE,"$46,800.00",1,1956,2,1,0,832,YES,832,"331 WHITE OAK AVE, Zanesville OH",39.9342918,-81.98613189999999,3588.7165251517845
81-46-01-24-000,319 WHITE OAK ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"319 WHITE OAK ST, Zanesville OH",39.934601,-81.986153,3596.4346199614597
81-46-02-01-000,1452 SHARON AVE,"$71,200.00",1.5,1935,2,2,0,1680,YES,840,"1452 SHARON AVE, Zanesville OH",39.934735,-81.987656,3477.7624783020888
81-46-02-08-000,337 JORDAN AVE,$100.00,NA,NA,NA,NA,NA,NA,NA,NA,"337 JORDAN AVE, Zanesville OH",39.934126,-81.987342,3484.293217371795
81-46-03-10-000,469 WHITE OAK AVE,"$97,700.00",2,1950,5,2,0,5300,NO,0,"469 WHITE OAK AVE, Zanesville OH",39.9315295,-81.9862682,3506.7315896881396
81-46-03-12-000,1477 WHEELER RD,"$21,200.00",1,1890,2,1,0,628,NO,0,"1477 WHEELER RD, Zanesville OH",39.932697,-81.987644,3419.2068124130274
81-46-03-14-000,1485 WHEELER RD,"$28,400.00",1,1910,2,1,0,950,NO,0,"1485 WHEELER RD, Zanesville OH",39.9325496,-81.98739239999999,3436.3645233488373
81-46-03-15-000,WHEELER RD,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"WHEELER RD, Zanesville OH",39.9327115,-81.9891536,3294.372914969498
81-46-03-16-000,1495 WHEELER RD,"$65,000.00",1,1996,3,2,0,1296,NO,0,"1495 WHEELER RD, Zanesville OH",39.93266,-81.9870959,3463.7994028195208
81-46-03-17-000,415 FREEBORN AVE,"$19,200.00",1,1901,2,1,0,832,YES,416,"415 FREEBORN AVE, Zanesville OH",39.932892,-81.987116,3468.094309610734
81-46-03-20-000,1420 BOWMAN ST,"$12,600.00",1,1895,1,1,0,528,NO,0,"1420 BOWMAN ST, Zanesville OH",39.933116,-81.987607,3433.3687368377646
81-46-03-24-000,361 FREEBORN AVE,"$28,800.00",1,1901,2,1,0,672,NO,0,"361 FREEBORN AVE, Zanesville OH",39.93351000000001,-81.98698,3496.101844947323
81-47-01-01-000,1467 WHEELER RD,"$53,900.00",1,1901,3,2,0,1172,YES,248,"1467 WHEELER RD, Zanesville OH",39.932757,-81.987984,3392.5453264146427
81-51-02-20-000,917 HUGHES ST,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"917 HUGHES ST, Zanesville OH",39.9355497,-82.00175519999999,2394.3024027421643
81-51-02-24-000,231 STILLWELL ST,"$21,200.00",2,1885,3,1,0,1218,NO,0,"231 STILLWELL ST, Zanesville OH",39.9355141,-82.0013798,2420.9292188378145
17-76-02-04-000,ADAMS LN,"$1,419,600.00",2,2011,4,4,0,2838,NO,0,"ADAMS LN, Zanesville OH",39.96290390000001,-82.02553429999999,4155.999212578314
17-78-04-10-002,1426 NEWARK RD,"$7,043,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"1426 NEWARK RD, Zanesville OH",39.9588719,-82.0317338,3731.8792798795516
44-52-01-04-004,SHEFFIELD & NORTHPOINTE,"$236,420.00",NA,NA,NA,NA,NA,NA,NA,NA,"SHEFFIELD & NORTHPOINTE, Zanesville OH",53.38112899999999,-1.470085,5992437.3582229875
44-52-01-04-008,SHEFFIELD,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,"SHEFFIELD, Zanesville OH",40.021543200000004,-82.0245071,10684.189214012415
44-52-01-21-550,5364 E SHEFFIELD CIR,"$184,200.00",1,2008,3,2,1,1395,NO,0,"5364 E SHEFFIELD CIR, Zanesville OH",40.021943,-82.023532,10730.400452333837
44-52-01-24-550,5369 W SHEFFIELD CIR,"$188,400.00",1,2008,3,2,0,1869,NO,0,"5369 W SHEFFIELD CIR, Zanesville OH",40.022149,-82.02420699999999,10752.07434517361
17-19-03-53-000,1463 COLBURN DR,"$213,300.00",2,2000,4,2,1,2400,YES,1232,"1463 COLBURN DR, Zanesville OH",39.991261,-82.04321399999999,7447.7184382604855
17-19-03-56-000,1378 DONOVAN WAY,"$219,100.00",1,2007,4,3,0,1972,YES,1972,"1378 DONOVAN WAY, Zanesville OH",39.989935,-82.041714,7279.1103163689
17-19-03-57-000,1372 DONOVAN WAY,"$246,300.00",2,2004,4,2,1,2912,YES,1652,"1372 DONOVAN WAY, Zanesville OH",39.989664,-82.041321,7243.5345826985695
17-19-03-66-000,1361 COLBURN DR,"$212,000.00",1,2003,3,3,0,1872,YES,1872,"1361 COLBURN DR, Zanesville OH",39.9909608,-82.04015129999999,7369.440358915202
81-51-03-02-000,339 WAYNE AVE,"$22,300.00",1,1924,2,1,0,926,YES,876,"339 WAYNE AVE, Zanesville OH",39.9343953,-82.0025675,2274.7748010049468
81-51-03-05-000,327 WAYNE AVE,"$22,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"327 WAYNE AVE, Zanesville OH",39.934696,-82.0026309,2284.5618990391813
81-51-04-06-000,HUGHES ST,$400.00,NA,NA,NA,NA,NA,NA,NA,NA,"HUGHES ST, Zanesville OH",39.9353369,-82.0016983,2387.740675667055
81-51-04-08-000,934 HUGHES ST,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"934 HUGHES ST, Zanesville OH",39.935092,-82.00124,2410.548089769521
81-51-04-10-000,928 HUGHES ST,$500.00,NA,NA,NA,NA,NA,NA,NA,NA,"928 HUGHES ST, Zanesville OH",39.935101,-82.00145599999999,2394.441228205894
81-51-04-15-000,914 HUGHES ST,"$31,100.00",2,1901,3,1,0,1928,YES,728,"914 HUGHES ST, Zanesville OH",39.9351768,-82.0019149,2363.1813981659343
81-51-04-16-000,304 WAYNE AVE,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"304 WAYNE AVE, Zanesville OH",39.935196,-82.0021497,2346.295392628815
81-51-04-19-000,318 WAYNE AVE,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"318 WAYNE AVE, Zanesville OH",39.9349104,-82.0020797,2337.3159063675944
81-51-04-21-000,322 WAYNE AVE,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"322 WAYNE AVE, Zanesville OH",39.9347712,-82.0020574,2332.182886944674
81-51-04-23-000,324 WAYNE AVE,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"324 WAYNE AVE, Zanesville OH",39.93467820000001,-82.0020419,2328.8517392449226
81-47-01-12-000,WHEELER RD,"$2,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"WHEELER RD, Zanesville OH",39.9327115,-81.9891536,3294.372914969498
81-47-02-05-000,1376 WHEELER RD,"$27,400.00",1,1901,2,1,0,732,NO,0,"1376 WHEELER RD, Zanesville OH",39.933458,-81.990589,3197.3643383050444
81-47-03-02-000,1367 STONE ST,"$35,500.00",1,1920,2,1,0,870,YES,650,"1367 STONE ST, Zanesville OH",39.933615,-81.991411,3134.885424943429
